path_id,entry_point,target,path_length,risk_score,path_description,full_path
1,vuln_web_001,asset_10.0.1.100,1,0.95,Exploit http (CVE-2021-44228) → Compromise web-dmz-01 (web_server),vuln_web_001 → asset_10.0.1.100
2,vuln_web_001,asset_10.0.2.200,2,0.855,Exploit http (CVE-2021-44228) → Compromise web-dmz-01 (web_server) → Compromise db-internal-01 (database_server),vuln_web_001 → asset_10.0.1.100 → asset_10.0.2.200
3,vuln_ftp_001,asset_10.0.3.50,2,0.8,Exploit ftp (CVE-2011-2523) → Compromise file-server-01 (file_server) → Compromise admin-workstation-01 (workstation),vuln_ftp_001 → asset_10.0.2.180 → asset_10.0.3.50
4,vuln_web_001,asset_10.0.3.50,3,0.7599999999999999,Exploit http (CVE-2021-44228) → Compromise web-dmz-01 (web_server) → Compromise db-internal-01 (database_server) → Compromise admin-workstation-01 (workstation),vuln_web_001 → asset_10.0.1.100 → asset_10.0.2.200 → asset_10.0.3.50
5,vuln_web_001,asset_10.0.3.50,3,0.7599999999999999,Exploit http (CVE-2021-44228) → Compromise web-dmz-01 (web_server) → Compromise file-server-01 (file_server) → Compromise admin-workstation-01 (workstation),vuln_web_001 → asset_10.0.1.100 → asset_10.0.2.180 → asset_10.0.3.50
6,vuln_web_001,asset_10.0.3.50,3,0.7474999999999999,Exploit http (CVE-2021-44228) → Exploit ftp (CVE-2011-2523) → Compromise file-server-01 (file_server) → Compromise admin-workstation-01 (workstation),vuln_web_001 → vuln_ftp_001 → asset_10.0.2.180 → asset_10.0.3.50
7,vuln_web_001,asset_10.0.3.50,4,0.6845833333333333,Exploit http (CVE-2021-44228) → Exploit mysql (CVE-2020-14867) → Exploit ftp (CVE-2011-2523) → Compromise file-server-01 (file_server) → Compromise admin-workstation-01 (workstation),vuln_web_001 → vuln_db_001 → vuln_ftp_001 → asset_10.0.2.180 → asset_10.0.3.50
8,vuln_web_001,asset_10.0.3.50,3,0.6805555555555557,Exploit http (CVE-2021-44228) → Exploit mysql (CVE-2020-14867) → Exploit rdp (CVE-2019-0708) → Compromise admin-workstation-01 (workstation),vuln_web_001 → vuln_db_001 → vuln_rdp_001 → asset_10.0.3.50
9,vuln_web_001,asset_10.0.2.200,2,0.6187499999999999,Exploit http (CVE-2021-44228) → Exploit mysql (CVE-2020-14867) → Compromise db-internal-01 (database_server),vuln_web_001 → vuln_db_001 → asset_10.0.2.200
10,vuln_web_001,asset_10.0.3.50,2,0.6174999999999999,Exploit http (CVE-2021-44228) → Compromise web-dmz-01 (web_server) → Compromise admin-workstation-01 (workstation),vuln_web_001 → asset_10.0.1.100 → asset_10.0.3.50
